_id,CT,BPAD,BPAN,BPAN2,BWAD,BWAN,BWAN2,BMAD,BMAN,BMAN2,year
176,457100,755.0,75.0,59.0,421.0,37.0,26.0,334.0,38.0,33.0,2016.0
177,457200,1837.0,209.0,153.0,1011.0,117.0,89.0,826.0,92.0,64.0,2016.0
178,458000,4652.0,456.0,314.0,2493.0,218.0,148.0,2159.0,238.0,166.0,2016.0
179,459101,1031.0,88.0,74.0,535.0,42.0,38.0,496.0,46.0,36.0,2016.0
180,459102,3145.0,242.0,175.0,1658.0,108.0,82.0,1487.0,134.0,93.0,2016.0
181,459201,3065.0,244.0,179.0,1637.0,126.0,93.0,1428.0,118.0,86.0,2016.0
182,459202,330.0,24.0,16.0,194.0,13.0,9.0,136.0,11.0,7.0,2016.0
183,460001,2657.0,260.0,176.0,1454.0,127.0,85.0,1203.0,133.0,91.0,2016.0
184,460002,2243.0,211.0,158.0,1231.0,101.0,78.0,1012.0,110.0,80.0,2016.0
185,461000,496.0,58.0,35.0,262.0,25.0,15.0,234.0,33.0,20.0,2016.0
186,462100,1586.0,167.0,124.0,882.0,74.0,60.0,704.0,93.0,64.0,2016.0
187,462600,2178.0,187.0,148.0,1194.0,98.0,79.0,984.0,89.0,69.0,2016.0
188,463900,1567.0,168.0,124.0,887.0,94.0,63.0,680.0,74.0,61.0,2016.0
189,464300,1702.0,150.0,114.0,940.0,77.0,62.0,762.0,73.0,52.0,2016.0
190,464400,1890.0,168.0,138.0,1014.0,93.0,75.0,876.0,75.0,63.0,2016.0
191,465600,1316.0,137.0,108.0,737.0,75.0,59.0,579.0,62.0,49.0,2016.0
192,465800,1755.0,122.0,87.0,946.0,57.0,46.0,809.0,65.0,41.0,2016.0
193,468700,837.0,82.0,58.0,447.0,34.0,28.0,390.0,48.0,30.0,2016.0
194,468800,1087.0,110.0,76.0,614.0,56.0,38.0,473.0,54.0,38.0,2016.0
195,468900,1849.0,175.0,136.0,1020.0,93.0,66.0,829.0,82.0,70.0,2016.0
196,469000,2569.0,213.0,146.0,1392.0,93.0,63.0,1177.0,120.0,83.0,2016.0
197,470300,2078.0,194.0,134.0,1153.0,88.0,62.0,925.0,106.0,72.0,2016.0
198,470400,1692.0,141.0,113.0,938.0,68.0,57.0,754.0,73.0,56.0,2016.0
199,470501,1333.0,98.0,63.0,732.0,43.0,29.0,601.0,55.0,34.0,2016.0
200,470502,1731.0,161.0,107.0,946.0,77.0,48.0,785.0,84.0,59.0,2016.0
201,470600,1495.0,149.0,111.0,804.0,71.0,52.0,691.0,78.0,59.0,2016.0
202,471000,583.0,57.0,39.0,303.0,27.0,18.0,280.0,30.0,21.0,2016.0
203,472100,1236.0,79.0,56.0,674.0,38.0,26.0,562.0,41.0,30.0,2016.0
204,472200,1052.0,64.0,53.0,545.0,33.0,27.0,507.0,31.0,26.0,2016.0
205,472300,921.0,80.0,59.0,509.0,36.0,29.0,412.0,44.0,30.0,2016.0
206,472400,1076.0,81.0,53.0,569.0,33.0,19.0,507.0,48.0,34.0,2016.0
207,473100,2535.0,119.0,95.0,1359.0,58.0,50.0,1176.0,61.0,45.0,2016.0
208,473200,1666.0,103.0,72.0,947.0,47.0,32.0,719.0,56.0,40.0,2016.0
209,473300,3224.0,212.0,144.0,1776.0,113.0,75.0,1448.0,99.0,69.0,2016.0
210,473401,1993.0,82.0,65.0,1041.0,33.0,26.0,952.0,49.0,39.0,2016.0
211,473402,1821.0,102.0,73.0,965.0,47.0,34.0,856.0,55.0,39.0,2016.0
212,473500,2007.0,90.0,58.0,1039.0,40.0,26.0,968.0,50.0,32.0,2016.0
213,473601,2116.0,91.0,58.0,1136.0,36.0,21.0,980.0,55.0,37.0,2016.0
214,473602,2501.0,171.0,125.0,1376.0,92.0,69.0,1125.0,79.0,56.0,2016.0
215,474101,2361.0,122.0,86.0,1225.0,54.0,38.0,1136.0,68.0,48.0,2016.0
216,474102,2112.0,104.0,74.0,1096.0,52.0,33.0,1016.0,52.0,41.0,2016.0
217,474201,1478.0,70.0,56.0,766.0,25.0,18.0,712.0,45.0,38.0,2016.0
218,474202,2862.0,161.0,112.0,1476.0,60.0,46.0,1386.0,101.0,66.0,2016.0
219,474203,2704.0,160.0,129.0,1401.0,60.0,45.0,1303.0,100.0,84.0,2016.0
220,475101,2660.0,262.0,178.0,1502.0,145.0,92.0,1158.0,117.0,86.0,2016.0
221,475102,988.0,69.0,50.0,497.0,30.0,22.0,491.0,39.0,28.0,2016.0
222,475200,2893.0,232.0,172.0,1524.0,112.0,85.0,1369.0,120.0,87.0,2016.0
223,475301,2585.0,246.0,162.0,1403.0,120.0,72.0,1182.0,126.0,90.0,2016.0
224,475303,2509.0,221.0,145.0,1333.0,89.0,64.0,1176.0,132.0,81.0,2016.0
225,475304,3074.0,190.0,135.0,1625.0,90.0,65.0,1449.0,100.0,70.0,2016.0
226,475401,2261.0,216.0,146.0,1219.0,102.0,69.0,1042.0,114.0,77.0,2016.0
227,475402,1819.0,135.0,90.0,974.0,58.0,38.0,845.0,77.0,52.0,2016.0
228,476100,2509.0,216.0,156.0,1390.0,117.0,93.0,1119.0,99.0,63.0,2016.0
229,476200,1847.0,182.0,127.0,1011.0,88.0,61.0,836.0,94.0,66.0,2016.0
230,477100,2109.0,184.0,119.0,1144.0,76.0,53.0,965.0,108.0,66.0,2016.0
